artist_name,release_name,song_name
"Tha BLCKSmith","Ganga Wali Flow","Ganga Wali Flow"
"Somnath Mali","Ruk Ja O Dil Deewane","Ruk Ja O Dil Deewane"
"Sharath Kumar","Mast Khalandar ","Mast Khalandar "
"Kakoli Mazumder","Kon Alote Praner Pradip","Kon Alote Praner Pradip"
"The Myth Masters","Thet Tin","Thet Tin"
"Sohail Saleem Reza",Ainjuri,"Tanga Skarta"
"Sohail Saleem Reza",Ainjuri,"Song for Maria Tess"
"Sohail Saleem Reza",Ainjuri,Mohini
"Atul Anand",Urvashi,Urvashi
"Ramvijay Chandran","Meeting Guruji","Meeting Guruji"
"Bhaskar Mishra","Ahsan Tera Hoga Mujh Par","Ahsan Tera Hoga Mujh Par"
"Utpalendu Karmakar","Keheno Ko","Keheno Ko"
"D.J. Ahtunowhiho",शक्ति,शक्ति
"Ankit Agarwal","Kahin to Hogi Wo","Kahin to Hogi Wo"
"Sal-Va Shun","Omi Dada","Omi Dada"
"THILAK KUMAR","Sollamal Thottu","Sollamal Thottu"
"THILAK KUMAR","Sollamal Thottu",Inaye
"Mohammed Shanwar","Hasbi Rabbi ","Hasbi Rabbi "
"Manmohan Raj ","Iss Pyaa Mein","Iss Pyaa Mein"
"Dipanshu Tomer",Faasle,Faasle
"Avi Arora","Sab Kuch Vahin Hai","Sab Kuch Vahin Hai"
"Meera Iyer",Vizigalil,Vizigalil
"Boilun Touthang ","Sunggllam Vejing Pa","Sunggllam Vejing Pa"
"Arun Goutam","Tum Hi Aana","Tum Hi Aana"
"Saumya Patni","Teri Mitti","Teri Mitti"
"Ayush Srivastava","Beta Mein Mere Daddy Da","Beta Mein Mere Daddy Da"
"Chitrang Shah (Dr. C)","Tara Mara Sapno","Tara Mara Sapno"
Chakachak,Chakachak,"Wake Up"
Chakachak,Chakachak,Sabda
Chakachak,Chakachak,Netapal
Chakachak,Chakachak,Money
Chakachak,Chakachak,"Gati Bidhi "
Chakachak,Chakachak,Damadol
"Krishna Prajapati","Chal Ghar Chalen","Chal Ghar Chalen"
"Content Pudhe","Shukriyan - A Tribute to Covid-19 Warriors","Shukriyan - A Tribute to Covid-19 Warriors"
"Atul Anand",Adaah,Adaah
"Atul Anand","Aa Bhi Jaa","Aa Bhi Jaa"
"Atul Anand","Tu Hi Tu","Tu Hi Tu"
"Atul Anand","Ai Khuda","Ai Khuda"
Vibekar,"Bheja Q","Kab Tak"
Vibekar,"Bheja Q","Bheja Q"
"Lexkiss the Party Animal","Ngukinyukia O Kahora","Lexkiss X Pst. Hosea X Pst Rugongo - Ngukinyukia Cover 320kbpss"
"RK MUSIC MAKER ","Bam Bhole","Bam Bhole"
"Hossein Safamanesh","Sur Suwnm","Sur Suwnm"
Subhransh,"Beete Lamhe","Beete Lamhe"
"Yousuf Ali","Ae Kaash","Ae Kaash"
"Erfan Moqaddam","In Paeiz","In Paeiz"
"Jitten Dabhi","Mantra Kirti","Mantra Kirti"
Nawaab,Maahiya,Maahiya
"Ashok Nayak",Mahadev,Mahadev
Veakay,"Aaj Aaye Ho Tum","Aaj Aaye Ho Tum"
"Hazan Sadiq","Sunn Raha Hai Na Tu (instrumental)","Sunn Raha Hai Na Tu (instrumental)"
"Cheema Saab","Bambiha Bole 2","Bambiha Bole 2"
"Himadri Subhra Kundu","Aye Watan","Aye Watan"
"Himadri Subhra Kundu","Mobile Screen E Toke Dekhi","Mobile Screen E Toke Dekhi"
Tanpreetbawa,"Jo Bhejhi Thi Dua","Jo Bhejhi Thi Dua"
"Aryan Pandey",Yaad,Yaad
"DJ Dibya Nd","Sun Meri Shehzadi ","Sun Meri Shehzadi"
"Rv Chouhan","Main Tujhe Bhul Na Paunga","Main Tujhe Bhul Na Paunga"
"Jitendra Roy","Ganpati Mera Vighnaharta","Ganpati Mera Vighnaharta"
"Vismay Patel",Aafeemusic,Aafeemusic
"Aaryan Sekhon","Tod Da Ae Dil ","Tod Da Ae Dil "
"Rohit Kotyal","Shivaji Peth Doble Galli Vijayapur","Shivaji Peth Doble Galli Vijayapur"
"Ahmed Saad ","Tamr Hena Amir","Tamr Hena Amir"
"Toy toy","Kisi Bhikhari Ko Kuchh De Nahin Sakte","Kisi Bhikhari Ko Kuchh De Nahin Sakte"
"Toy Toy Rana","Kisi Ke Bure Waqt Mein Uska Sath Do","Kisi Ke Bure Waqt Mein Uska Sath Do"
"Flashlight ",Blow,Blow
"Toy Toy Rana","Barish Ho to Bhim Jaya Kar","Barish Ho to Bhim Jaya Kar"
Zubair,"Desh Ki Sachai","Desh Ki Sachai"
"Toy Toy Rana","Char Rishtedar Ek Tabhi Chalte Hain","Char Rishtedar Ek Tabhi Chalte Hain"
"Carlo Mendez","Ikaw Lang","Ikaw Lang"
"Nilanjan Roy","AMAR GAN","AMAR GAN"
"Nilanjan Roy","Amar Gan 4 ","Amar Gan 4 "
"Toy Toy Rana","Is Jindagi Ke Safar Per Thakan Bahut Hai","Is Jindagi Ke Safar Per Thakan Bahut Hai"
Anshu,"Mere Naal ","Mere Naal"
"Harshit Upadhyay","Aisa Kya Hua","Aisa Kya Hua"
"I Am Sr","Lafzon Ki Baat","Lafzon Ki Baat"
"VIP Bacchua",Facts,Facts
Ashvrm,Jakham,Jakham
ATMAHU,"Ro Mat","Ro Mat"
Ronit,"Bewafa Part. 2","Bewafa Part. 2"
"Tejas Pawar","Betabi Ki Nayi Dastan","Betabi Ki Nayi Dastan"
Sayf.xd7,"Darkhast - Lofi","Darkhast - Lofi Remix"
"Azad Shaitan","Atanki Hamla","Atanki Hamla"
Prabhu-Pratap,Bhaktirasa,"BADA SUNDARA DISUCHA HE"
Prabhu-Pratap,Bhaktirasa,"Jibana Sanje _ song | Ramamani M | Smaranika X Pratap K | Ft. Uttamansha, Anup K | Prabhu-Pratap"
Prabhu-Pratap,Bhaktirasa,"RE CHAKA NAYANA song | Abhaya | Pradosh X Pratap | Ft. Debasish,Pravin,Anup K | Prabhu-Pratap"
Rockzen,Club,Club
"DJ Ronak","Kaho Na Kaho Ke Yaad Teri L","Kaho Na Kaho Ke Yaad Teri L"
"Vinod Rathod","Chhupana Bhi Nahi Aata","Chhupana Bhi Nahi Aata"
"Tony Verma","Chod Janga Gaam Tera","Chod Janga Gaam Tera"
"Arvind Singh ","Bekrari ",Bekrari
Shreyan,"Aaj Kal Tere Mere Pyar Ke Charche","Aaj Kal Tere Mere Pyar Ke Charche"
"Mc Andy","Mc Andy","Mc Andy"
TermiRohan,Grow,Grow
"MC Satan","Zindagi Ek Khel","Zindagi Ek Khel"
"Sunit Sagar","Kinu Din Ahila","Kinu Din Ahila"
"Neha Kakkar","Tera Ghata - Female Version","Tera Ghata    Cover  Sri Lanka   Isme Tera Ghata"
ROY,Roy,"The Weeknd - Often (Slowed + Reverb )"
ROY,Roy,"Jvla - Such a Whore Slowed & Reverb"
ROY,Roy,"Hadal Ahbek (Slowed + Reverb)"
ROY,Roy,"Doja Cat - Streets (Slowed + Reverb) "
ROY,Roy,"Daddy Issues[slowed+reverb]"
"Mr Maksud",Tabahi,Tabahi
"Hs Walker, Affu walker ,wolfsan feat. Riddhi kumar","Faded (Hindi) Cover","Faded (Riddhi)"
"Vikash Meena","Meena Geet 2021","Meena Geet 2021"
"SK RAPPER ",Shuruwaat,"Shuruwaat New 1"
Aa,Kyun,Kyun
"Kishan Chakma","Monane Tore","Monane Tore"
"SABIR PUNKGUN","Apna Time Aagaya","Apna Time Aagaya Title Song"
"Ashwin Edits","Kho Gaya Hum Kahan","Kho Gaya Hum Kahan"
"Joshua Nongshli","Ko Ri Jong Nga","Ko Ri Jong Nga"
Aman,"Tu Haske Bolelu Ye Jaan","Tu Haske Bolelu Ye Jaan Ll त हसक बलल ए जन Video Song 202"
"Kumar Alok & Sima Raut","Aao Chalen Shiv Ki Or","Aao Chalen Shiv Ki Or"
"Munfaid Pathraliya","Mewati Song Roop Gajab Ko Chal Sexy","Mewati Song Roop Gajab Ko Chal Sexy"
"Arpan Halder","Aaja Kareeb Mere Tu","Aaja Kareeb Mere Tu"
"Heart Breaker",Trouble,Trouble
"Vicky Singh","Rooi Naa","Rooi Naa"
"Rajdeep Flautist",Harjaaii,Harjaaii
"DJ S21X","Titliaan Remix","Titliaan- Dj S21x"
Vidath,"Kaali 3","Kaali Aaya Dekh 2.0"
"AJ STABIN","Kalti Le","Kalti Le"
"Ravinder Ajit","Tribute to the Legends","Title Error"
"Ravinder Ajit","Tribute to the Legends","DUB DUB JAVE DIL MERA"
"Ravinder Ajit","Tribute to the Legends","KHOYA KHOYA CHAAND"
"Ravinder Ajit","Tribute to the Legends","AAJ MOUSAM BADA BEIMAN HAI"
"Ravinder Ajit","Tribute to the Legends","KHUDA BHI AASMAN SE"
"Ravinder Ajit","Tribute to the Legends","DIL KA SOONA SAAZ"
"Ravinder Ajit","Tribute to the Legends","AKELE HAIN CHALE AAO"
"MixEye on YT","Music Instumentals","Brown Munde (Instrumental) Ap Dhillon Gurinder Gill Prod. a Vee Karoke 2020"
Ak,47s,"Saiyyan - Kailash Kher"
"Awaipa, Faristha","Mere Jaisa","Mere Jaisa"
Def,"Kidd Freestyle","Kidd Freestyle"
"Deepak Nayak","Chale Aao Fehrao","Chale Aao Fehrao"
Anto,Gumsum,Ghumsum
"Asim Azhar / R.A Lofi-Remake","Ghalat Fehmi (Lofi-Remake)","Ghalat Fehmi (Papa Pandey Flip)"
"Vipul Tiwari","Toh Kaa Daaru Piye ","Toh Kaa Daaru Piye"
"Ojasvi Geeta Goswami","Mhara O Rayvar Bansa","Mhara O Rayvar Bansa"
"Jagmohan Patel","Do Lafzon Mein (Yogendra Nishad) ","Pyaar Jab Hadse Guzar Jayeda"
"Jagmohan Patel","Do Lafzon Mein (Yogendra Nishad) ","Youn Pyar Kee Nazaro See"
"Jagmohan Patel","Do Lafzon Mein (Yogendra Nishad) ","Waqt-Be Waqt Ajmaya Na Karo "
"SABIR PUNK","Angaar Cover","Sabir Punk - Angaar by Sabir Punk(3)"
"Aditya Music Factors","Aditya Fun Zone","Gl9lv5niuiu-00 00 01.00-00 03 06.00"
Sriansh,"Happily Friendzoned","Happily Friendzoned"
"MG Liron",Satya,Satya
"Jagmohan Patel","Waqt-Be-Waqt Na","Waqt-Be-Waqt Na"
"AKHILESH MATLBI","Akhilesh Matlbi","Chamar Ji Se Dil Lgaile Bani"
"Sudhir Sharma","Tum Hi Ho","Tum Hi Ho"
"Level Up","Level Up",Intro
"Monu Music",Veera,Veera
Devil,Comenzo,"Aud 20210223 Wa0012"
Nirbhay,Aagman,Aagman
"Darshan Raval","Pheli Mohabbat ","Pehli Mohabbat"
"Avinash Singh","Lak Tu Hilaye","Lak Tu Hilaye"
Lycume,"Ishq Wishq Kar Hawa Chali Re","Ishq Wishq Kar Hawa Chali Re"
Shoonya,Jakham,Jakham
"Romee Zayn","Dil Ki Baat","Yaad Teri"
"Romee Zayn","Dil Ki Baat","Baby Girl "
Bag,Anokha,Anokha
SUTTAKAHAANHAI,Naseeb,"Paas Mere"
SUTTAKAHAANHAI,Naseeb,Waqt
SUTTAKAHAANHAI,Naseeb,"Savera Interlude"
SUTTAKAHAANHAI,Naseeb,Kami
SUTTAKAHAANHAI,Naseeb,Loriyan
SUTTAKAHAANHAI,Naseeb,"Naseeb Intro"
10TAKK,"Tea Time","Tea Time"
"MG Liron",Satya,Satya
"Akanksha Gupta","Woman Empowerment","Woman Empowerment"
Jackya,"Miss You Bro (Desi Tribute)","Miss You Bro (Desi Tribute)"
"Mr Ajay Harinath Singh","Shri Ram Stuti","Shri Ram Stuti"
"Amit Kumar Bhagat","Kon Sabun Se","Kon Sabun Se Nagpuri"
"Amit Kumar Bhagat","Kaha Se Toy Aale","Kaha Se Toy Aale"
"Amit Kumar Bhagat","Beer Bar Nagpuri","Beer Bar Me Nagpuri"
"Amit Kumar Bhagat","Jaane Dil","Jaane Dil"
"Amit Kumar Bhagat","Naino Kar Kajal","Naino Kar Kajal"
"Amit Kumar Bhagat","Phool Jaisan Kaya Re Pawan Roy","Phool Jaisan Kaya Re Pawan Roy"
"Katil Kamina",Katil,"Video 20210309232252237 by Filmix"
"Katil Kamina","Duniya Daari","Duniya Daari"
"Amit Kumar Bhagat","A Re Beliya","A Re Beliya "
Gj,"Raat Mera","Raat Mera"
"R Rox",Bars,"Bars 2021"
"Amit Kumar Bhagat","Ninghai Pyar Nu","Ninghai Pyar Nu"
"Amit Kumar Bhagat","Hai Re Enghai Kismat","Hai Re Enghai Kismat"
"Gagan Haryanvi",Dp,Dp
Lottery,Focus,Focus
Sait,"Beats By Sait (Indian Hiphop)","Beatz by Sait (Indian Hiphop)"
Kaali,"Tujhko Maine Chaha","Tujhko Maine Chaha"
"DR. NOUMAN KHAN ","Dj Honey ","Dj Honey"
"A Don Talvol Vast","Dope Baja","Dope Baja"
"Nincompoops Records","Aye Safar","Aye Safar"
"Prem Baba","Bihari-The Unlisten Rap ","Bihari-The Unlisten Rap "
"Aalim Momin","Bhalta Pyaar","Bhalta Pyaar"
"Aalim Momin","Bhalta Pyaar",Naari
"Umang Maheshwari","Aadat - the Unplugged","Aadat - the Unplugged"
"Syed sajawal","Winter Clash","C7fe04f 00bc 492e B309 75b081a5610b"
"Masti Life","Masti Life","Masti Life"
Blake666,Saal,Saal
"The Secret Unity Band","Kuch Toh Bata Zindagi","Kuch Toh Bata Zindagi"
"Mukesh Karma","Ek Tarfa Pyar Mera","Ek Tarfa Pyaar Mera"
"Ayan Khan",Zeher,Zeher
"Karan Mohan Thakur","Achyutam Keshavam","Achyutam Keshavam"
"Vicky Sodha","Sachita Teri Baatein","Sachita Teri Baatein"
"Nishant Mukta",Galtiyan,Galtiyan
"Bijoy B K",jlm,
"Pooja Ekbote","Tumhe Jaana","Tumhe Jaana"
"Abhishek Sharma","Tumse Milkar","Tumse Milkar"
"MC VICKY BANTA","KHATM HAI BRO","Khatm Hai Bro"
"Aman Pratap Singh",Baarishein,Baarishein
"Mg Liron","Waqt Na Paya","Waqt Na Paya"
"Mg Liron",Alachi,Alachi
"Mg Liron",Alachi,Alachi
"Mg Liron",Satya,Satya
"Tanu Ganguly","Phir Le Aaya Dil","Phir Le Aaya Dil"
"Swarali Shirodkar","Haye Garmi","Haye Garmi "
"Aditi Iyangar ","One Night","One Night"
"Parth Siddhpura","Behti Hawa","Behti Hawa"
"Darshan Raval","Pehli Mohabbat","Pehli Mohabbat"
"Spiti Wala","Julley Nyemo","Julley Nyemo"
"Ayush Singh",Mahadev,Mahadev
Beevin,Gamechanger,"Game Changer "
"Chinmay Sonu",Tu...,Tu...
Tanmay,"Ek Khawaab ","Ek Khawaab"
"Sovit Panwar","Sach Baat Puchti Hu","Sach Baat Puchti Hu"
"Swarali Shirodkar",Mirchi,Mirchi
"Swarali Shirodkar","Choo Lo","Choo Lo"
"Matar Paneer","Jeena Jeena Lo-Fi","Jeena Jeena - Atif Aslam - Lo-Fi "
"Gaurav Talreja","Ye Shaam Mastani","Ye Shaam Mastani"
"Ajay Nath","Mere Lab Pe Naam Tera Hai Bhola","Mere Lab Pe Naam Tera Hai Bhola"
"Saurabh Arya Suman","Arya Samaj Bhajan","Arya Samaj Bhajan"
"Vinay Kumar Buddh",Maa,Maa
