artist_name,release_name,song_name
"Raiz Viva","Amor Amerika","Amor Amerika"
"Samuel Sanchez",Muchacha,Perdoname
"Samuel Sanchez",Muchacha,"En La Calle 10"
"Samuel Sanchez",Muchacha,"Escuchame Señor"
"Samuel Sanchez",Muchacha,"La Fiesta"
"Samuel Sanchez",Muchacha,"Santo, Santo"
"Samuel Sanchez",Muchacha,Indiferencia
"Samuel Sanchez",Muchacha,"Me Enamoré"
"Samuel Sanchez",Muchacha,Muchacha
"Bruce Robbins","Sombres Del Tiempo","Sombres Del Tiempo"
Leeannatherton,"Mujer Enamorada","Mujer Enamorada"
Inquisidor,"Antología 1.3","Transplante De Cerebro"
Inquisidor,"Antología 1.3","Sobre Tu Cadáver"
Inquisidor,"Antología 1.3","Palacio Negro"
Inquisidor,"Antología 1.3",Mutilación
Inquisidor,"Antología 1.3",Jack
Inquisidor,"Antología 1.3",Inquisidor
Inquisidor,"Antología 1.3","Cerdos Enfermos De Poder"
Inquisidor,"Antología 1.3",Fhurer
Inquisidor,"Antología 1.3","Es Mi Vida"
Inquisidor,"Antología 1.3","El Silencio Llegará"
Inquisidor,"Antología 1.3","Descansa en Paz"
Inquisidor,"Antología 1.3","Fila De Muerte"
Inquisidor,"Antología 1.3","Atrapados Al Poder"
Inquisidor,"Lagrimas Nocturnas",Sofisma
Inquisidor,"Lagrimas Nocturnas","Asesino Depravado"
Inquisidor,"Lagrimas Nocturnas","Rumbo a La Muerte"
Inquisidor,"Lagrimas Nocturnas","Jodiendo Al Sistema"
Inquisidor,"Lagrimas Nocturnas","Pesadillas Siniestras"
Inquisidor,"Lagrimas Nocturnas","El Perfume"
Inquisidor,"Lagrimas Nocturnas","Llorando Por Mi Destino"
Inquisidor,"Lagrimas Nocturnas",Mercenarios
Inquisidor,"Lagrimas Nocturnas","Viviendo en La Obscuridad"
Inquisidor,"Lagrimas Nocturnas",Lucifer
Inquisidor,"Lagrimas Nocturnas","Lagrimas Nocturnas"
Inquisidor,"Lagrimas Nocturnas",Suicida
"Curro y los Bandoleros","La Ruta Del Mar","La Ruta Del Mar"
"Curro y los Bandoleros","Pasos Largos","Pasos Largos"
"Curro y los Bandoleros","José Ulloa El Tragabuches","José Ulloa El Tragabuches"
"Curro y los Bandoleros","El Tempranillo","El Tempranillo"
"Curro y los Bandoleros","Luis Candelas","Luis Candelas"
"Curro y los Bandoleros","Diego Corrientes","Diego Corrientes"
"Curro y los Bandoleros","Curro y los Bandoleros","Curro y los Bandoleros"
"Waka Skely",Millonario,Millonario
"Julio Idiart's Mistica","Julio Idiart's Mistica","Entre El Bien Y El Mal "
"Julio Idiart's Mistica","Julio Idiart's Mistica","Game Over (Continuara...)"
"Julio Idiart's Mistica","Julio Idiart's Mistica","El Juego De La Cacería "
"Julio Idiart's Mistica","Julio Idiart's Mistica","Plegarias Al Sur "
"Julio Idiart's Mistica","Julio Idiart's Mistica","Como Un Barco En Altamar"
"Julio Idiart's Mistica","Julio Idiart's Mistica","Como Un Barco En Altamar"
"Julio Idiart's Mistica","Julio Idiart's Mistica","Si No Estas "
"Julio Idiart's Mistica","Julio Idiart's Mistica","La Llama Eterna"
"Julio Idiart's Mistica","Julio Idiart's Mistica","Tu Eterna Oscuridad "
"Julio Idiart's Mistica","Julio Idiart's Mistica","Despierta ( en Silencio )"
